guest_id,spa_affinity_score,adventure_affinity_score,culture_affinity_score,dining_affinity_score,travel_type,budget_segment,stay_duration_days,weather_condition,rain_probability,event_category,event_popularity_score,event_indoor_flag,attraction_rating,seasonal_tourism_index,weather_activity_match,event_preference_alignment,overall_experience_score,recommended_experience,temperature
22,0.08,0.92,0.78,1.0,Family,Luxury,4,Sunny,76,Cultural Fair,36,0,4.8,32,0.49,0.01,20,Spa Package,14.0
23,0.02,0.4,0.37,1.0,Solo,Mid-range,13,Cloudy,56,Music Festival,37,1,3.6,84,0.61,0.06,98,Adventure Trek,22.0
24,0.68,0.69,0.89,1.0,Couple,Budget,8,Snowy,33,Wellness Expo,82,0,4.7,24,0.52,0.59,75,Spa Package,34.0
25,0.98,0.14,0.01,0.0,Family,Luxury,2,Rainy,44,Sports Event,26,0,3.9,85,0.58,0.41,93,Indoor Wellness Retreat,37.0
26,0.7,0.21,0.03,0.0,Solo,Mid-range,4,Snowy,72,Food Carnival,57,0,4.5,33,0.84,0.96,84,Indoor Wellness Retreat,24.0
27,0.59,0.7,0.93,0.0,Business,Budget,14,Sunny,69,Wellness Expo,94,0,4.1,66,0.48,0.96,65,Adventure Trek,27.0
28,0.42,0.97,0.28,1.0,Solo,Luxury,5,Cloudy,88,Cultural Fair,59,0,4.8,6,0.56,0.12,64,Cultural Museum Visit,10.0
29,0.73,0.6,0.34,1.0,Business,Budget,14,Cloudy,72,Sports Event,10,1,4.9,63,0.95,0.21,6,Adventure Trek,15.0
30,0.52,0.05,0.4,0.0,Family,Luxury,1,Sunny,7,Sports Event,49,1,4.8,80,0.18,0.32,23,Indoor Wellness Retreat,21.0
31,0.06,0.92,0.69,1.0,Family,Luxury,6,Rainy,30,Cultural Fair,27,1,3.7,63,0.92,0.32,16,Adventure Trek,23.0
32,0.95,0.73,0.66,1.0,Couple,Budget,6,Cloudy,38,Cultural Fair,90,0,4.8,56,0.08,0.16,59,Indoor Wellness Retreat,35.0
33,0.94,0.13,0.7,1.0,Business,Budget,4,Sunny,16,Food Carnival,19,0,4.3,17,0.72,0.41,74,Spa Package,15.0
34,0.32,0.44,0.9,0.0,Family,Mid-range,6,Sunny,35,Music Festival,9,1,4.0,6,0.21,0.28,69,Adventure Trek,36.0
35,0.7,0.77,0.21,1.0,Business,Mid-range,13,Rainy,20,Sports Event,3,0,4.6,82,0.81,0.29,21,Adventure Trek,34.0
36,0.84,0.24,0.46,1.0,Business,Mid-range,14,Cloudy,63,Food Carnival,83,0,4.7,34,0.93,0.81,1,City Tour,38.0
37,0.77,0.45,0.32,0.0,Family,Luxury,10,Cloudy,15,Music Festival,89,1,3.9,36,0.38,0.9,11,Indoor Wellness Retreat,20.0
38,0.24,0.53,0.67,1.0,Solo,Budget,8,Cloudy,93,Music Festival,38,0,4.2,78,0.2,0.92,27,Cultural Museum Visit,26.0
39,0.25,0.52,0.88,1.0,Solo,Budget,4,Snowy,49,Cultural Fair,19,1,4.2,10,0.51,0.97,85,Cultural Museum Visit,24.0
40,0.86,0.89,0.81,1.0,Solo,Luxury,14,Sunny,84,Music Festival,1,0,4.7,57,0.51,0.78,85,Food Experience,33.0
41,0.78,0.98,0.6,1.0,Couple,Mid-range,5,Snowy,53,Food Carnival,62,0,3.5,40,0.02,0.16,16,Food Experience,29.0
42,0.66,0.06,0.07,0.0,Family,Budget,14,Rainy,52,Cultural Fair,84,1,3.6,93,0.74,0.6,93,Food Experience,16.0
43,0.64,0.91,0.33,1.0,Solo,Luxury,1,Sunny,47,Cultural Fair,13,0,4.6,5,0.13,0.54,18,Spa Package,32.0
44,0.92,0.0,0.36,1.0,Business,Budget,9,Cloudy,80,Sports Event,77,0,5.0,86,0.78,0.44,64,Food Experience,21.0
45,0.47,0.32,0.09,0.0,Family,Luxury,14,Snowy,18,Cultural Fair,8,1,3.9,85,0.21,0.94,76,Food Experience,36.0
46,0.92,0.53,0.29,1.0,Couple,Luxury,3,Rainy,0,Sports Event,35,1,4.4,28,0.13,0.55,83,Food Experience,14.0
47,0.86,0.93,0.54,1.0,Solo,Mid-range,13,Snowy,50,Cultural Fair,81,0,3.8,19,0.65,0.25,81,Adventure Trek,37.0
48,0.95,0.75,0.76,1.0,Business,Budget,10,Rainy,18,Cultural Fair,74,1,4.9,92,0.44,0.69,27,Adventure Trek,24.0
49,0.69,0.06,0.87,0.0,Business,Mid-range,11,Snowy,8,Wellness Expo,79,1,4.3,17,0.19,0.57,93,Indoor Wellness Retreat,39.0
50,0.59,0.52,0.03,0.0,Family,Luxury,12,Snowy,26,Wellness Expo,93,0,4.4,91,0.88,0.31,89,Spa Package,28.0
51,0.68,0.17,0.1,1.0,Business,Mid-range,7,Sunny,98,Food Carnival,22,1,4.1,75,0.13,0.46,11,Food Experience,35.0
52,0.88,0.33,0.13,1.0,Family,Mid-range,7,Sunny,12,Music Festival,41,1,4.0,89,0.8,0.83,84,Food Experience,11.0
53,0.08,0.87,0.77,1.0,Family,Budget,9,Sunny,92,Sports Event,79,1,4.2,38,0.75,0.35,57,Indoor Wellness Retreat,23.0
54,0.52,0.42,0.65,0.0,Family,Mid-range,1,Cloudy,25,Wellness Expo,86,0,4.2,27,0.3,0.8,45,Adventure Trek,26.0
55,0.31,0.91,0.73,1.0,Solo,Mid-range,10,Rainy,95,Wellness Expo,17,0,3.9,18,0.41,0.05,29,City Tour,21.0
56,0.45,0.48,0.37,1.0,Solo,Budget,14,Cloudy,32,Music Festival,74,1,4.8,35,0.9,0.72,67,Spa Package,28.0
57,0.9,0.8,0.53,1.0,Solo,Budget,12,Sunny,100,Cultural Fair,44,1,5.0,90,0.35,0.46,74,Indoor Wellness Retreat,17.0
58,0.24,0.78,0.63,1.0,Solo,Luxury,14,Cloudy,8,Music Festival,13,1,3.6,44,0.4,0.16,89,City Tour,36.0
59,0.58,0.87,0.25,1.0,Business,Luxury,7,Sunny,17,Wellness Expo,75,1,4.2,93,0.92,0.17,38,Indoor Wellness Retreat,13.0
60,0.83,0.65,0.36,1.0,Business,Mid-range,4,Rainy,27,Wellness Expo,12,0,4.5,14,0.35,0.35,12,Spa Package,19.0
61,0.65,0.49,0.0,0.0,Business,Mid-range,12,Sunny,21,Wellness Expo,74,1,3.7,21,0.28,0.5,63,Spa Package,11.0
62,0.69,0.92,0.71,1.0,Business,Mid-range,4,Cloudy,6,Food Carnival,72,0,4.6,7,0.54,0.66,13,Indoor Wellness Retreat,35.0
63,0.03,0.16,0.08,0.0,Business,Luxury,2,Snowy,36,Food Carnival,75,0,4.0,49,0.14,0.34,57,Indoor Wellness Retreat,17.0
64,0.09,0.41,0.9,1.0,Solo,Budget,2,Snowy,96,Sports Event,91,1,4.3,81,0.94,0.21,55,Cultural Museum Visit,26.0
65,0.39,0.41,0.54,1.0,Family,Budget,11,Sunny,27,Wellness Expo,17,0,4.2,29,0.38,0.26,73,Food Experience,37.0
66,0.58,0.69,0.68,0.0,Business,Budget,8,Sunny,2,Sports Event,7,1,4.0,67,0.94,0.37,26,City Tour,33.0
67,0.81,0.96,0.24,1.0,Couple,Luxury,10,Cloudy,68,Music Festival,89,1,4.1,43,0.28,0.82,38,Adventure Trek,11.0
68,0.13,0.38,0.54,0.0,Family,Budget,9,Sunny,71,Cultural Fair,14,1,4.1,83,0.87,0.35,46,Food Experience,15.0
69,0.49,0.75,0.35,0.0,Couple,Luxury,13,Snowy,21,Sports Event,73,1,3.9,59,0.67,0.92,59,Adventure Trek,16.0
70,0.54,0.5,0.04,0.0,Business,Mid-range,2,Cloudy,5,Food Carnival,30,0,3.8,83,0.5,0.24,7,Cultural Museum Visit,30.0
71,0.03,0.44,0.97,0.0,Solo,Mid-range,8,Rainy,4,Cultural Fair,16,0,4.1,12,0.22,0.74,95,Food Experience,33.0
72,0.62,0.69,0.24,0.0,Couple,Luxury,7,Snowy,62,Music Festival,45,0,4.7,93,0.13,0.16,71,City Tour,23.0
73,0.93,0.59,0.52,1.0,Solo,Mid-range,4,Sunny,57,Music Festival,46,1,3.9,1,0.43,0.88,2,Food Experience,35.0
74,0.6,0.75,0.59,0.0,Solo,Budget,7,Cloudy,45,Sports Event,16,0,3.8,2,0.37,0.93,88,Cultural Museum Visit,15.0
75,0.12,0.68,0.58,1.0,Family,Luxury,5,Sunny,7,Cultural Fair,81,1,5.0,78,0.87,0.92,59,City Tour,11.0
76,0.96,0.37,0.19,1.0,Solo,Mid-range,10,Snowy,17,Music Festival,9,0,4.5,4,0.86,0.96,48,Adventure Trek,25.0
77,0.84,0.26,0.38,1.0,Couple,Mid-range,6,Sunny,47,Food Carnival,65,1,3.9,63,0.46,0.72,40,Spa Package,19.0
78,0.52,0.88,0.07,1.0,Family,Luxury,8,Cloudy,24,Wellness Expo,53,0,4.8,64,0.14,0.55,67,Spa Package,31.0
79,0.73,0.14,0.93,1.0,Business,Mid-range,3,Snowy,63,Food Carnival,74,1,4.1,76,0.25,0.41,66,Indoor Wellness Retreat,28.0
80,0.32,0.7,0.95,1.0,Solo,Budget,8,Snowy,15,Food Carnival,67,1,4.5,48,0.83,0.8,88,City Tour,30.0
81,0.5,0.35,0.05,0.0,Couple,Mid-range,8,Snowy,66,Cultural Fair,19,0,3.8,65,0.04,0.73,33,Adventure Trek,12.0
82,0.17,0.61,0.9,0.0,Couple,Mid-range,9,Cloudy,62,Food Carnival,24,0,4.0,67,0.74,0.52,97,Food Experience,24.0
83,0.88,0.41,0.85,0.0,Business,Budget,1,Sunny,93,Sports Event,2,1,4.1,46,0.16,0.59,73,City Tour,22.0
84,0.6,0.25,0.05,0.0,Couple,Luxury,4,Cloudy,25,Food Carnival,62,1,4.8,34,0.69,0.99,83,City Tour,29.0
85,0.66,0.16,0.77,0.0,Couple,Mid-range,13,Snowy,35,Cultural Fair,89,1,4.3,52,0.22,0.48,6,Cultural Museum Visit,18.0
86,0.66,0.71,0.43,0.0,Couple,Luxury,1,Sunny,49,Music Festival,17,0,3.8,89,0.89,0.52,30,Adventure Trek,10.0
87,0.34,0.22,0.59,1.0,Family,Mid-range,14,Cloudy,49,Cultural Fair,25,0,3.9,41,0.26,0.5,74,City Tour,30.0
88,0.7,0.78,0.05,1.0,Business,Mid-range,12,Cloudy,46,Wellness Expo,65,1,4.6,42,0.26,0.6,20,Spa Package,27.0
89,1.0,0.7,0.09,0.0,Business,Luxury,1,Snowy,76,Music Festival,86,1,4.8,70,0.54,0.36,56,Adventure Trek,27.0
90,0.88,0.59,0.53,1.0,Business,Mid-range,3,Snowy,15,Sports Event,11,1,4.0,64,0.46,0.67,62,City Tour,26.0
91,0.59,0.78,0.51,0.0,Family,Luxury,14,Sunny,82,Food Carnival,19,1,4.5,40,0.39,0.84,41,Indoor Wellness Retreat,33.0
92,0.69,0.64,0.41,1.0,Couple,Luxury,14,Cloudy,4,Music Festival,83,0,4.7,9,0.82,0.85,22,Cultural Museum Visit,26.0
93,0.17,0.32,0.46,1.0,Business,Mid-range,4,Snowy,74,Music Festival,66,1,4.8,78,0.98,0.55,73,Food Experience,37.0
94,0.23,0.44,0.08,0.0,Business,Luxury,9,Rainy,18,Wellness Expo,53,1,4.4,73,0.47,0.14,79,Cultural Museum Visit,18.0
95,0.27,0.39,0.53,1.0,Family,Luxury,8,Cloudy,24,Wellness Expo,89,1,3.7,89,0.62,0.58,79,Spa Package,12.0
96,0.07,0.86,0.89,1.0,Solo,Budget,13,Cloudy,49,Cultural Fair,80,1,4.4,10,0.67,0.27,84,Adventure Trek,25.0
97,0.23,0.82,0.87,0.0,Family,Budget,12,Cloudy,86,Sports Event,26,0,3.9,44,0.92,0.83,39,Cultural Museum Visit,38.0
98,0.25,0.27,0.16,0.0,Family,Mid-range,10,Sunny,64,Music Festival,2,1,4.6,93,0.45,0.53,12,City Tour,11.0
99,0.6,0.46,0.4,1.0,Solo,Mid-range,8,Cloudy,31,Cultural Fair,43,0,4.4,37,0.9,0.17,89,City Tour,26.0
100,0.2,0.76,0.2,1.0,Family,Mid-range,9,Rainy,56,Sports Event,52,1,4.8,55,0.8,0.57,64,Indoor Wellness Retreat,16.0
101,0.06,0.14,0.39,0.0,Couple,Budget,5,Rainy,77,Wellness Expo,31,0,4.0,94,0.37,0.36,26,City Tour,29.0
102,0.53,0.13,0.31,1.0,Family,Luxury,12,Cloudy,52,Cultural Fair,86,0,4.6,37,0.47,0.9,55,Food Experience,11.0
103,0.48,0.19,0.83,0.0,Family,Mid-range,5,Cloudy,51,Food Carnival,30,1,3.7,53,0.21,0.87,13,City Tour,12.0
104,0.57,0.91,0.75,1.0,Business,Budget,14,Snowy,48,Sports Event,75,1,4.3,37,0.79,0.19,85,Adventure Trek,31.0
105,0.49,0.89,0.11,0.0,Couple,Luxury,12,Snowy,89,Sports Event,79,0,4.8,79,0.87,0.47,20,Spa Package,35.0
106,0.11,0.4,0.47,0.0,Solo,Budget,14,Snowy,63,Music Festival,61,1,4.0,65,0.22,0.26,84,Spa Package,24.0
107,0.25,0.99,0.98,1.0,Business,Luxury,2,Sunny,54,Sports Event,15,0,4.6,28,0.06,0.36,10,City Tour,14.0
108,0.84,0.04,0.82,0.0,Couple,Luxury,9,Cloudy,24,Music Festival,87,1,3.9,100,0.84,0.18,8,City Tour,36.0
109,0.42,0.8,0.64,0.0,Solo,Luxury,13,Rainy,96,Cultural Fair,11,1,4.1,90,0.32,0.96,30,Adventure Trek,38.0
110,0.94,0.79,0.17,0.0,Solo,Luxury,7,Cloudy,78,Wellness Expo,57,1,4.7,60,0.9,0.27,80,Adventure Trek,18.0
111,0.93,0.14,0.71,1.0,Couple,Budget,3,Cloudy,28,Sports Event,81,0,4.5,33,0.32,0.93,37,Indoor Wellness Retreat,21.0
112,0.04,0.24,0.17,1.0,Family,Mid-range,6,Sunny,35,Music Festival,67,1,4.6,23,0.64,0.18,56,Adventure Trek,25.0
113,0.67,0.84,0.01,0.0,Solo,Budget,12,Snowy,29,Cultural Fair,97,1,3.7,89,0.2,0.07,71,Cultural Museum Visit,16.0
114,0.02,0.14,0.08,0.0,Family,Mid-range,3,Rainy,24,Cultural Fair,28,1,3.9,0,0.94,0.45,9,Adventure Trek,14.0
115,0.34,0.41,0.19,0.0,Business,Mid-range,1,Sunny,90,Music Festival,13,0,4.4,41,0.54,0.85,37,City Tour,37.0
116,0.11,0.86,0.69,0.0,Business,Budget,5,Cloudy,58,Sports Event,90,0,4.9,43,0.09,0.14,44,Indoor Wellness Retreat,30.0
117,0.45,0.47,0.57,1.0,Family,Budget,13,Rainy,52,Sports Event,26,0,4.6,32,0.25,0.94,91,Indoor Wellness Retreat,24.0
118,0.97,0.91,0.2,0.0,Solo,Luxury,12,Rainy,79,Food Carnival,43,0,4.6,73,0.04,0.47,22,Indoor Wellness Retreat,35.0
119,0.74,0.61,0.95,0.0,Business,Luxury,11,Rainy,67,Sports Event,34,1,4.3,9,0.51,0.7,18,City Tour,22.0
120,0.87,0.57,0.93,0.0,Couple,Mid-range,2,Rainy,39,Wellness Expo,67,0,4.2,3,0.23,0.78,47,City Tour,38.0
121,0.88,0.51,0.58,0.0,Business,Mid-range,5,Sunny,70,Wellness Expo,98,1,4.8,75,0.24,0.15,14,Food Experience,22.0
122,0.27,0.49,0.9,0.0,Business,Luxury,5,Cloudy,40,Sports Event,47,1,4.0,40,0.25,0.02,12,Cultural Museum Visit,39.0
123,0.63,0.96,0.03,0.0,Solo,Luxury,11,Snowy,86,Food Carnival,37,1,4.5,95,0.81,0.42,75,Indoor Wellness Retreat,38.0
124,0.26,0.56,0.09,1.0,Business,Budget,12,Cloudy,10,Music Festival,9,0,4.1,9,0.56,0.66,20,Adventure Trek,38.0
125,0.8,0.43,0.59,0.0,Couple,Mid-range,6,Rainy,86,Wellness Expo,80,1,4.8,21,0.12,0.08,39,City Tour,18.0
126,0.17,0.36,0.92,0.0,Business,Luxury,10,Snowy,33,Food Carnival,78,1,4.0,42,0.12,0.3,75,Spa Package,26.0
127,0.36,0.01,0.38,0.0,Business,Luxury,8,Cloudy,20,Wellness Expo,32,1,4.8,38,0.01,0.99,48,Adventure Trek,37.0
128,0.96,0.34,0.58,1.0,Family,Budget,4,Rainy,55,Wellness Expo,36,1,4.2,1,0.68,0.4,85,Adventure Trek,38.0
129,0.02,0.59,0.29,1.0,Family,Luxury,5,Sunny,9,Music Festival,87,1,4.0,64,0.86,0.01,46,Adventure Trek,15.0
130,0.68,0.52,0.77,1.0,Solo,Mid-range,8,Cloudy,77,Music Festival,0,0,3.8,96,0.35,0.8,74,City Tour,19.0
131,0.37,0.94,0.72,1.0,Business,Mid-range,11,Rainy,85,Sports Event,41,0,4.8,81,0.11,0.33,86,City Tour,26.0
132,0.01,0.78,0.17,0.0,Solo,Luxury,10,Cloudy,39,Food Carnival,60,0,4.8,67,0.53,0.53,31,Food Experience,37.0
133,0.83,0.51,0.83,0.0,Business,Budget,8,Rainy,19,Cultural Fair,34,1,4.2,99,0.58,0.38,17,Food Experience,16.0
134,1.0,0.36,0.83,1.0,Family,Luxury,1,Sunny,12,Sports Event,79,0,4.3,3,0.71,0.43,95,Food Experience,39.0
135,0.21,0.57,0.86,0.0,Business,Budget,9,Rainy,23,Music Festival,49,1,4.4,31,0.66,0.69,84,Food Experience,15.0
136,0.66,0.02,0.76,0.0,Solo,Budget,11,Sunny,19,Food Carnival,7,0,4.4,23,0.81,0.34,3,Cultural Museum Visit,37.0
137,0.78,0.5,0.79,1.0,Family,Budget,7,Snowy,29,Wellness Expo,31,0,3.9,3,0.31,0.81,91,Adventure Trek,22.0
138,0.67,0.91,0.51,1.0,Couple,Luxury,3,Sunny,91,Cultural Fair,4,1,3.9,45,0.33,0.4,97,Cultural Museum Visit,25.0
139,0.64,0.01,0.29,0.0,Family,Luxury,8,Snowy,49,Food Carnival,5,1,4.8,8,0.19,0.65,88,Spa Package,15.0
140,0.33,0.76,0.76,1.0,Business,Budget,13,Cloudy,55,Music Festival,27,1,4.5,51,0.16,0.21,70,City Tour,21.0
141,0.54,0.34,0.14,0.0,Business,Mid-range,6,Snowy,16,Food Carnival,61,1,4.8,77,0.13,0.7,54,Spa Package,31.0
142,0.87,0.98,0.4,0.0,Family,Budget,7,Rainy,5,Cultural Fair,93,0,5.0,33,0.53,0.48,96,Indoor Wellness Retreat,34.0
143,0.65,0.24,0.38,0.0,Couple,Luxury,10,Sunny,91,Music Festival,89,0,4.8,49,0.87,0.45,13,Adventure Trek,34.0
144,0.59,0.3,0.98,1.0,Business,Budget,9,Cloudy,55,Wellness Expo,83,0,3.9,48,0.46,0.6,42,Cultural Museum Visit,16.0
145,0.31,0.04,0.34,0.0,Family,Luxury,10,Cloudy,12,Music Festival,39,1,4.6,72,0.11,0.48,20,Adventure Trek,26.0
146,0.41,0.25,0.17,0.0,Family,Mid-range,1,Sunny,74,Cultural Fair,55,1,4.1,96,0.56,0.12,97,City Tour,26.0
147,0.78,0.43,0.48,0.0,Family,Budget,6,Snowy,12,Music Festival,61,1,4.5,25,0.97,0.62,61,Food Experience,29.0
148,0.0,0.56,0.2,1.0,Business,Budget,1,Cloudy,80,Food Carnival,60,1,4.7,95,0.77,0.21,78,Adventure Trek,28.0
149,0.41,0.11,0.5,0.0,Business,Mid-range,14,Cloudy,15,Sports Event,28,1,4.4,25,0.38,0.27,58,Indoor Wellness Retreat,19.0
150,0.67,0.54,1.0,0.0,Business,Mid-range,7,Sunny,81,Sports Event,61,1,3.7,66,0.93,0.5,35,Spa Package,11.0
151,0.94,0.5,0.66,0.0,Family,Luxury,7,Cloudy,46,Music Festival,69,1,5.0,64,0.66,0.59,65,Indoor Wellness Retreat,22.0
152,0.87,0.05,0.22,1.0,Solo,Luxury,12,Cloudy,37,Sports Event,97,1,4.9,56,0.32,0.87,42,Spa Package,37.0
153,0.57,0.22,0.7,1.0,Business,Mid-range,4,Rainy,1,Sports Event,57,0,4.1,11,0.16,0.08,5,Cultural Museum Visit,11.0
154,0.17,0.99,0.34,1.0,Business,Luxury,9,Cloudy,68,Food Carnival,92,1,5.0,17,0.46,0.63,20,Spa Package,12.0
155,0.63,0.45,0.73,1.0,Business,Luxury,11,Snowy,40,Music Festival,25,0,4.7,48,0.39,0.7,38,City Tour,16.0
156,0.84,0.49,0.66,0.0,Family,Mid-range,11,Snowy,49,Music Festival,71,0,4.9,57,0.96,0.35,33,City Tour,12.0
157,0.61,0.57,0.27,0.0,Solo,Luxury,6,Rainy,66,Sports Event,23,0,4.6,62,0.66,0.38,10,Cultural Museum Visit,38.0
158,0.05,0.28,0.98,1.0,Solo,Luxury,11,Cloudy,99,Sports Event,82,0,4.1,10,0.33,0.91,96,City Tour,11.0
159,0.01,0.17,0.15,0.0,Family,Budget,2,Snowy,86,Music Festival,80,0,3.9,98,0.68,0.51,93,City Tour,19.0
160,0.34,0.52,0.39,0.0,Couple,Mid-range,3,Cloudy,99,Wellness Expo,64,0,4.6,20,0.81,0.45,2,Spa Package,34.0
161,0.49,0.83,0.94,0.0,Business,Luxury,2,Cloudy,0,Sports Event,65,0,4.0,26,0.02,0.04,16,City Tour,26.0
162,0.98,0.78,0.35,1.0,Solo,Luxury,4,Cloudy,37,Music Festival,48,0,3.8,9,0.13,0.62,52,Adventure Trek,25.0
163,0.75,0.02,0.78,0.0,Business,Budget,13,Snowy,44,Cultural Fair,84,0,3.7,1,0.7,0.97,0,City Tour,35.0
164,0.11,0.2,0.57,1.0,Business,Mid-range,9,Snowy,75,Music Festival,15,1,4.3,5,0.52,0.26,14,Adventure Trek,34.0
165,0.59,0.44,1.0,0.0,Solo,Luxury,13,Sunny,0,Wellness Expo,4,1,4.0,53,0.97,0.6,72,Indoor Wellness Retreat,12.0
166,0.66,0.68,0.68,0.0,Solo,Budget,8,Cloudy,62,Wellness Expo,84,0,3.6,99,0.89,0.56,22,City Tour,13.0
167,0.01,0.61,0.31,0.0,Solo,Luxury,9,Rainy,39,Music Festival,37,1,4.5,0,0.97,0.73,37,Food Experience,14.0
168,0.23,0.41,0.35,0.0,Business,Mid-range,14,Rainy,30,Sports Event,26,0,4.8,42,0.39,0.85,59,Cultural Museum Visit,22.0
169,0.22,0.54,0.39,1.0,Business,Budget,4,Cloudy,93,Food Carnival,33,1,5.0,47,0.3,0.4,72,City Tour,15.0
170,0.79,0.52,0.83,1.0,Solo,Budget,8,Snowy,79,Food Carnival,55,1,4.9,61,0.54,0.95,41,Adventure Trek,35.0
171,0.7,0.42,0.52,0.0,Business,Luxury,10,Rainy,50,Food Carnival,13,0,4.0,38,0.03,0.99,5,Cultural Museum Visit,38.0
172,0.72,0.1,0.16,0.0,Family,Budget,4,Snowy,74,Cultural Fair,43,0,4.1,28,0.07,0.53,39,City Tour,17.0
173,0.8,0.32,0.2,0.0,Solo,Budget,8,Snowy,90,Cultural Fair,70,0,4.6,68,0.47,0.23,83,Adventure Trek,15.0
174,0.46,0.72,0.63,0.0,Solo,Budget,2,Rainy,57,Wellness Expo,2,1,4.4,80,0.66,0.77,84,Spa Package,26.0
175,0.37,0.63,0.0,0.0,Solo,Budget,2,Snowy,99,Cultural Fair,33,0,4.7,95,0.2,0.09,83,Food Experience,11.0
176,0.18,0.03,0.78,1.0,Couple,Mid-range,7,Sunny,42,Sports Event,47,1,4.4,17,0.97,0.9,8,Indoor Wellness Retreat,20.0
177,0.24,0.05,0.31,1.0,Solo,Budget,14,Snowy,55,Wellness Expo,15,0,4.2,44,0.24,0.03,69,Indoor Wellness Retreat,35.0
178,0.69,0.01,0.97,1.0,Family,Mid-range,7,Sunny,85,Sports Event,69,0,4.5,50,0.89,0.45,68,City Tour,29.0
179,0.16,0.59,0.32,0.0,Business,Budget,6,Cloudy,53,Wellness Expo,59,0,4.9,16,0.13,0.57,6,Adventure Trek,30.0
180,0.41,0.72,0.75,1.0,Business,Budget,5,Sunny,56,Cultural Fair,62,1,4.2,67,0.1,0.39,14,Cultural Museum Visit,29.0
181,0.91,0.84,0.54,1.0,Family,Budget,4,Cloudy,57,Cultural Fair,39,1,4.2,31,0.31,0.81,64,Indoor Wellness Retreat,31.0
182,0.32,0.95,0.49,0.0,Business,Mid-range,6,Snowy,25,Cultural Fair,23,1,4.6,2,0.94,0.8,5,Adventure Trek,19.0
183,0.96,0.73,0.09,1.0,Couple,Budget,11,Snowy,14,Sports Event,54,1,5.0,24,0.15,0.41,92,Spa Package,26.0
